roman_imperial_government;Imperial;;;;;;;;;x
roman_imperial_government_desc;An Imperial government relies on a hierarchy of appointed governors to administer the territory of the Empire. Internal politics are centered around the Imperial Court, where councillors, commanders and powerful noble families constantly vie for influence.;;;;;;;;;x
roman_imperial_government_FEATURES;§Y*§! §YImperial Province§! and §YMonastic Province§! government vassals will not object to title revocations\n§Y*§! Cannot revoke titles from vassals with §YImperial Province§! and §YMonastic Province§! government, but can dismiss them instead\n§Y*§! Rulers can found Great Houses if they are powerful enough;;;;;;;;;x
province_government;Imperial Province;;;;;;;;;x
province_government_desc;An Imperial Province is ruled by a governor, who has been appointed from amongst the aristocracy by the Emperor and his councillors. Skill and merit play an important role in the appointment process, but it is often also influenced by court politics and family ties.;;;;;;;;;x
province_government_FEATURES;§Y*§! §YImperial Province§! and §YMonastic Province§! government vassals will not object to title revocations\n§Y*§! Cannot revoke titles from vassals with §YImperial Province§! and §YMonastic Province§! government, but can dismiss them instead\n§Y*§! Rulers can found Great Houses if they are powerful enough;;;;;;;;;x
chinese_bureaucracy_government;Confucian Bureaucracy;;;;;;;;;x
chinese_bureaucracy_government_desc;Confucian Bureaucracies rely on a set of strict imperial examinations to select their rulers. Candidates are tested on their knowledge of the Confucian Classics - though merit, previous achievements and recommendations from prominent aristocrats also play a major role in the selection process.;;;;;;;;;x
chinese_bureaucracy_government_FEATURES;§Y*§! §YConfucian Bureaucracy§! government vassals will not object to title revocations\n§Y*§! Cannot revoke titles from vassals with §YConfucian Bureaucracy§! government, but can dismiss them instead\n§Y*§! Rulers can found Great Houses if they are powerful enough;;;;;;;;;x
chinese_imperial_government_desc;Under Chinese Imperialism, the Emperor is believed to be endowed by Heaven with a divine mandate, which he is expected to uphold through just and virtuous rule. Beneath him, in the Imperial Court, nobles and scholar bureaucrats work tirelessly to assist the Emperor in this task, and to advance their own standing within the Empire.;;;;;;;;;x 
chinese_imperial_government_FEATURES;§Y*§! Can revoke titles without objections from §YConfucian Bureaucracy§! government vassals\n§Y*§! Can force vassals to use §YConfucian Bureaucracy§! government\n§Y*§! Can dismiss vassals with §YConfucian Bureaucracy§! government\n§Y*§! Cannot revoke titles from vassals with §YConfucian Bureaucracy§! government\n§Y*§! Rulers must maintain the §YMandate of Heaven§! and gain boons and penalties from it;;;;;;;;;x
monastic_imperial_government;Monastic Imperial;;;;;;;;;x
monastic_imperial_government_desc;The Monastic Feudal government, much like the ordinary Imperial government, relies on a hierarchy of appointed governors to administer the territory of the Empire. It is unique to [tibetan_group.GetGroupName] of either the [buddhist.GetName] or [bon.GetName] faiths, and allows holding Temples in addition to Castles. Monastic Feudal rulers can also construct Gompa Monastery buildings in Castle holdings.;;;;;;;;;x
monastic_imperial_government_FEATURES;§Y*§! §YImperial Province§! and §YMonastic Province§! government vassals will not object to title revocations\n§Y*§! Cannot revoke titles from vassals with §YImperial Province§! and §YMonastic Province§! government, but can dismiss them instead\n§Y*§! Rulers can found Great Houses if they are powerful enough;;;;;;;;;x
monastic_province_government;Monastic Province;;;;;;;;;x
monastic_province_government_desc;A Monastic Province is ruled from a monastery, whose head has been appointed by the Emperor and his councillors. Skill, merit and piety play an important role in the appointment process, but it is often also influenced by court politics and family ties.;;;;;;;;;x
monastic_province_government_FEATURES;§Y*§! §YImperial Province§! and §YMonastic Province§! government vassals will not object to title revocations\n§Y*§! Cannot revoke titles from vassals with §YImperial Province§! and §YMonastic Province§! government, but can dismiss them instead\n§Y*§! Rulers can found Great Houses if they are powerful enough;;;;;;;;;x
